first_payment_year,avg_loan_amount
1999,114400.12198690696
2000,121631.97520508575
2001,136577.1020149042
2002,141937.8231849236
2003,144339.12492404136
2004,152240.46995495926
2005,168685.55905957444
2006,176256.67258374457
2007,181747.5715648663
2008,201458.1321610741
2009,214291.68683993508
2010,206044.36775843563
2011,205327.9229842526
2012,207578.35304358794
2013,201982.46012832265
2014,207507.5237491078
2015,223613.35855416968
2016,233569.2223378704
2017,232016.7539167297
2018,233312.0459055092
2019,253478.21044793318
2020,285227.7752399424
2021,289727.01017301483
2022,295889.48271102685
2023,311704.9029177719
2024,333503.9879457559
2025,311561.6438356164
